buffer,partition,lake_id,rmse,mae,corr,obs_mean,pred_mean,pred_zmean,pred_zmax
100,valid,147,1.0089228,0.8346638,0.8795316865801639,35.50949,34.9725,3.8835092,6.598358
100,valid,136,1.3909546,1.1436818,0.7347352751319002,30.060863,31.18916,2.7027397,4.698986
100,valid,119,2.763779,2.051771,0.4403292956702187,8.242762,6.2903986,2.4999375,11.722187
100,test,14,1.9943045,1.664158,0.716354200592203,2.5078294,3.2399876,3.688562,7.456027
100,test,106,4.2008724,3.5727997,0.7058226634410941,33.994556,30.43194,6.484505,14.484646
100,test,149,1.9795538,1.7857599,0.8520163003019666,36.199333,34.422523,4.7114496,7.513035
100,test,189,1.7871684,1.4733381,0.688527314293721,18.818373,20.01343,2.8345175,7.0722523
100,test,24,0.553014,0.43786043,-0.2322885344961451,-0.16534777,-0.036794517,0.64958376,3.879965
100,test,18,0.9719346,0.8198916,0.5070398592408183,29.37068,28.555443,1.8979566,3.1936035
100,test,105,1.4942487,1.2223873,0.1268313277378634,-0.3772282,0.71678585,1.0921416,2.3981664
100,test,45,11.15327,7.6139655,0.19033649283008777,4.5594654,11.929689,2.2358942,11.977771
100,test,112,2.0164557,1.6091307,0.29061456303495575,7.3334394,7.5886683,2.1510448,6.6489553
100,test,57,9.301061,7.918632,0.8567343430158559,65.32677,57.46265,10.681189,17.801483
100,test,82,1.1157216,0.8301936,0.8619896268644481,27.31533,27.76416,3.2110243,5.87949
100,test,191,3.7641616,2.9102526,0.6500075055917243,6.7233844,4.064909,5.9142485,13.803845
100,test,59,2.1380417,1.7457513,0.7260552729975676,17.21238,17.769491,4.537943,7.6442566
100,test,168,2.946637,2.6008415,0.21788845586082264,8.541774,11.127478,1.2206053,3.448947
100,test,15,2.439493,2.017611,0.7566554990415577,23.776716,21.83367,3.4798656,7.0634594
100,test,192,1.9587272,1.7024124,0.5918534854909403,38.104298,36.476753,3.031012,5.4261475
100,test,50,1.5556873,1.3601822,0.8563294736934945,19.511683,18.231697,4.0445795,7.0466366
100,test,169,1.6319368,1.3753793,0.6653677172926711,7.544969,7.7690153,3.3709075,9.492577
100,test,54,1.6558201,1.3294262,0.7386177619519743,19.339716,19.094126,5.007258,9.962547
100,test,114,0.50464547,0.41383478,0.1532306906097607,7.6399384,7.5009604,1.4143914,3.625803
100,test,196,3.610955,2.7484527,0.8316868495463925,44.473335,43.6215,9.799014,20.25523
100,test,151,5.970153,4.9344807,0.5121067419585822,43.62033,48.479874,1.1762981,4.668125
100,test,200,1.11563,0.9463568,0.7381055373979721,23.505676,22.780159,2.9263935,4.9579906
100,test,180,3.910387,3.092318,0.6699037186423784,42.15783,42.522762,7.6688275,17.614243
100,test,185,2.4910357,2.0263371,0.1963247315658725,-1.9380697,0.0131551875,1.2619209,5.667431
100,test,11,1.4292388,1.1807797,0.858944201351844,17.618975,18.594404,2.5493467,5.1054516
100,test,132,0.5544506,0.41916466,0.74328486143469,10.564392,10.66398,1.467246,2.9751654
100,test,76,5.4568563,3.9565802,0.7247837965710917,13.436555,10.960055,9.923625,26.963318
100,test,91,1.1195301,0.8759384,0.7805041633201217,51.36083,51.087883,3.018939,5.3688545
100,test,203,1.4195596,1.2122884,0.7204268484997084,17.281092,18.026571,2.4940667,3.6539783
100,test,144,1.2081462,0.97583586,0.45811157770933575,20.178797,19.49538,2.859978,5.104431
